[2023-08-17 17:51:59] This is codeql database index-files --include-extension=.xml --include-extension=.wsdd --size-limit 10m --language xml -- /Users/lousix/sec/CodeQL/CodeQLpy/out/database/S1
[2023-08-17 17:51:59] Log file was started late.
[2023-08-17 17:51:59] Using index-files script /Users/lousix/sec/CodeQL/codeql/xml/tools/index-files.sh.
[2023-08-17 17:51:59] [PROGRESS] database index-files> Scanning for files in /Users/lousix/sec/CodeQL/CodeQLpy...
[2023-08-17 17:51:59] Calling plumbing command: codeql resolve files --include-extension=.xml --include-extension=.wsdd --size-limit=10m /Users/lousix/sec/CodeQL/CodeQLpy --format=json
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/imgs...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/diagnostic...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/diagnostic/tracer...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/diagnostic/extractors...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/diagnostic/extractors/java...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/diagnostic/extractors/xml...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/log...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/log/ext...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/db-java...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/db-java/default...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/db-java/default/strings...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/db-java/default/pools...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/db-java/default/pools/0...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/db-java/default/pools/0/buckets...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/db-java/default/pools/0/pageDump...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/db-java/default/pools/0/metadata...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/db-java/default/pools/1...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/db-java/default/pools/1/buckets...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/db-java/default/pools/1/pageDump...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/db-java/default/pools/1/ids1...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/db-java/default/pools/1/metadata...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/db-java/default/pools/1/indices1...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/db-java/default/cache...
[2023-08-17 17:51:59] [PROGRESS] resolve files> Scanning /Users/lousix/sec/CodeQL/CodeQLpy/out/database/resetPwd/db-java/default/cache/predicates...
