cls,field,col2
SpringApplication,BANNER_LOCATION_PROPERTY,String
SpringApplication,BANNER_LOCATION_PROPERTY_VALUE,String
SpringApplication,DEFAULT_WEB_CONTEXT_CLASS,String
SpringApplication,DEFAULT_CONTEXT_CLASS,String
SpringBootServletInitializer,logger,Log
Application,logger,Log
Class,classValueMap,ClassValueMap
String,CASE_INSENSITIVE_ORDER,Comparator<String>
Exception,serialVersionUID,long
PrintStream,out,OutputStream
System,out,PrintStream
System,err,PrintStream
System,in,InputStream
RemoteException,serialVersionUID,long
RemoteException,serialVersionUID,long
RemoteException,detail,Throwable
UnicastRemoteObject,ref,RemoteRef
Constants,REMEMBER_ME_COOKIE,String
CustomCorsProcessor,logger,Logger
RequestMappingHandlerMapping,logger,Log
CustomRequestMappingHandlerMapping,logger,Log
AbstractHandlerMapping,logger,Log
LoggerFactory,DETECT_LOGGER_NAME_MISMATCH,boolean
LoggerFactory,JAVA_VENDOR_PROPERTY,String
LoggerFactory,DETECT_LOGGER_NAME_MISMATCH_PROPERTY,String
LoggerFactory,NOP_FALLBACK_FACTORY,NOPLoggerFactory
LoggerFactory,SUBST_FACTORY,SubstituteLoggerFactory
LoggerFactory,INITIALIZATION_STATE,int
LoggerFactory,NOP_FALLBACK_INITIALIZATION,int
LoggerFactory,SUCCESSFUL_INITIALIZATION,int
LoggerFactory,FAILED_INITIALIZATION,int
LoggerFactory,ONGOING_INITIALIZATION,int
LoggerFactory,UNINITIALIZED,int
LoggerFactory,UNSUCCESSFUL_INIT_MSG,String
LoggerFactory,UNSUCCESSFUL_INIT_URL,String
LoggerFactory,REPLAY_URL,String
LoggerFactory,LOGGER_NAME_MISMATCH_URL,String
LoggerFactory,SUBSTITUTE_LOGGER_URL,String
LoggerFactory,VERSION_MISMATCH,String
LoggerFactory,NULL_LF_URL,String
LoggerFactory,MULTIPLE_BINDINGS_URL,String
LoggerFactory,NO_STATICLOGGERBINDER_URL,String
LoggerFactory,CODES_PREFIX,String
SafeDomainConfig,LOGGER,Logger
SafeDomainParser,logger,Logger
File,separator,String
File,pathSeparator,String
File,pathSeparatorChar,char
File,separatorChar,char
ArrayList,elementData,Object[]
AbstractList,modCount,int
WebConfig,ssrfBlockIps,ArrayList<String>
WebConfig,ssrfBlockDomains,ArrayList<String>
WebConfig,ssrfSafeDomains,ArrayList<String>
WebConfig,blockDomains,ArrayList<String>
WebConfig,safeDomains,ArrayList<String>
WebConfig,businessCallback,String
WebConfig,referSecEnabled,Boolean
WebConfig,referUris,String[]
WebConfig,referWhitelist,String[]
WebConfig,jsonpRefererHost,String[]
