cls,field,col2
SpringApplication,shutdownHook,SpringApplicationShutdownHook
SpringApplication,BANNER_LOCATION_PROPERTY,String
SpringApplication,BANNER_LOCATION_PROPERTY_VALUE,String
SpringApplication,DEFAULT_REACTIVE_WEB_CONTEXT_CLASS,String
SpringApplication,DEFAULT_SERVLET_WEB_CONTEXT_CLASS,String
SpringApplication,DEFAULT_CONTEXT_CLASS,String
String,CASE_INSENSITIVE_ORDER,Comparator<String>
Class,classValueMap,ClassValueMap
Student,age,int
Student,sex,int
Student,username,String
Student,id,int
IOException,serialVersionUID,long
IOException,serialVersionUID,long
PrintStream,out,OutputStream
System,out,PrintStream
System,err,PrintStream
System,in,InputStream
JSON,VERSION,String
JSON,DEFAULT_GENERATE_FEATURE,int
JSON,DEFAULT_PARSER_FEATURE,int
JSON,DEFFAULT_DATE_FORMAT,String
JSON,emptyFilters,SerializeFilter[]
JSON,DEFAULT_TYPE_KEY,String
JSON,defaultLocale,Locale
JSON,defaultTimeZone,TimeZone
Teacher,sex,boolean
Teacher,name,String
Teacher,id,int
Person,nickname,String
Person,username,String
Person,id,String
IndexLogic,indexDb,IndexDb
ArrayList,elementData,Object[]
IndexController,personRepository,PersonRepository
IndexController,iStudentMapper,IStudentMapper
IndexController,indexLogic,IndexLogic
Long,BYTES,int
Long,SIZE,int
Long,TYPE,Class<Long>
Long,MAX_VALUE,long
Long,MIN_VALUE,long
Integer,BYTES,int
Integer,SIZE,int
Integer,sizeTable,int[]
Integer,DigitOnes,char[]
Integer,DigitTens,char[]
Integer,digits,char[]
Integer,TYPE,Class<Integer>
Integer,MAX_VALUE,int
Integer,MIN_VALUE,int
StringUtils,INDEX_NOT_FOUND,int
StringUtils,CR,String
StringUtils,LF,String
StringUtils,EMPTY,String
StringUtils,SPACE,String
BufferedReader,lock,Object
InputStreamReader,lock,Object
TimeUnit,SECONDS,TimeUnit
TimeUnit,MAX,long
TimeUnit,C6,long
TimeUnit,C5,long
TimeUnit,C4,long
TimeUnit,C3,long
TimeUnit,C2,long
TimeUnit,C1,long
TimeUnit,C0,long
TimeUnit,DAYS,TimeUnit
TimeUnit,HOURS,TimeUnit
TimeUnit,MINUTES,TimeUnit
TimeUnit,MILLISECONDS,TimeUnit
TimeUnit,MICROSECONDS,TimeUnit
TimeUnit,NANOSECONDS,TimeUnit
Matcher,anchoringBounds,boolean
Matcher,transparentBounds,boolean
Matcher,requireEnd,boolean
Matcher,hitEnd,boolean
Matcher,locals,int[]
Matcher,lastAppendPosition,int
Matcher,oldLast,int
Matcher,last,int
Matcher,first,int
Matcher,acceptMode,int
Matcher,NOANCHOR,int
Matcher,ENDANCHOR,int
Matcher,text,CharSequence
Matcher,lookbehindTo,int
Matcher,to,int
Matcher,from,int
Matcher,groups,int[]
Matcher,parentPattern,Pattern
Pattern,lastAccept,Node
Pattern,accept,Node
Pattern,lookbehindEnd,Node
Pattern,INDEPENDENT,int
Pattern,POSSESSIVE,int
Pattern,LAZY,int
Pattern,GREEDY,int
Pattern,MAX_REPS,int
Pattern,localCount,int
Pattern,capturingGroupCount,int
Pattern,groupNodes,GroupHead[]
Pattern,namedGroups,"Map<String,Integer>"
Pattern,buffer,int[]
Pattern,matchRoot,Node
Pattern,root,Node
Pattern,UNICODE_CHARACTER_CLASS,int
Pattern,CANON_EQ,int
Pattern,UNICODE_CASE,int
Pattern,DOTALL,int
Pattern,LITERAL,int
Pattern,MULTILINE,int
Pattern,COMMENTS,int
Pattern,CASE_INSENSITIVE,int
Pattern,UNIX_LINES,int
StringBuffer,count,int
StringBuffer,value,char[]
StringBuffer,serialVersionUID,long
AbstractList,modCount,int
Reader,lock,Object
Exception,serialVersionUID,long
Call,engine,HttpEngine
Call,originalRequest,Request
Call,canceled,boolean
HttpGet,METHOD_NAME,String
HttpGet,params,HttpParams
HttpGet,headergroup,HeaderGroup
Request,TIME_ZONE,TimeZone
Request,DATE_LOCALE,Locale
Request,DATE_FORMAT,String
HttpURLConnection,HTTP_VERSION,int
HttpURLConnection,HTTP_GATEWAY_TIMEOUT,int
HttpURLConnection,HTTP_UNAVAILABLE,int
HttpURLConnection,HTTP_BAD_GATEWAY,int
HttpURLConnection,HTTP_NOT_IMPLEMENTED,int
HttpURLConnection,HTTP_INTERNAL_ERROR,int
HttpURLConnection,HTTP_SERVER_ERROR,int
HttpURLConnection,HTTP_UNSUPPORTED_TYPE,int
HttpURLConnection,HTTP_REQ_TOO_LONG,int
HttpURLConnection,HTTP_ENTITY_TOO_LARGE,int
HttpURLConnection,HTTP_PRECON_FAILED,int
HttpURLConnection,HTTP_LENGTH_REQUIRED,int
HttpURLConnection,HTTP_GONE,int
HttpURLConnection,HTTP_CONFLICT,int
HttpURLConnection,HTTP_CLIENT_TIMEOUT,int
HttpURLConnection,HTTP_PROXY_AUTH,int
HttpURLConnection,HTTP_NOT_ACCEPTABLE,int
HttpURLConnection,HTTP_BAD_METHOD,int
HttpURLConnection,HTTP_NOT_FOUND,int
HttpURLConnection,HTTP_FORBIDDEN,int
HttpURLConnection,HTTP_PAYMENT_REQUIRED,int
HttpURLConnection,HTTP_UNAUTHORIZED,int
HttpURLConnection,HTTP_BAD_REQUEST,int
HttpURLConnection,HTTP_USE_PROXY,int
HttpURLConnection,HTTP_NOT_MODIFIED,int
HttpURLConnection,HTTP_SEE_OTHER,int
HttpURLConnection,HTTP_MOVED_TEMP,int
HttpURLConnection,HTTP_MOVED_PERM,int
HttpURLConnection,HTTP_MULT_CHOICE,int
HttpURLConnection,HTTP_PARTIAL,int
HttpURLConnection,HTTP_RESET,int
HttpURLConnection,HTTP_NO_CONTENT,int
HttpURLConnection,HTTP_NOT_AUTHORITATIVE,int
HttpURLConnection,HTTP_ACCEPTED,int
HttpURLConnection,HTTP_CREATED,int
HttpURLConnection,HTTP_OK,int
HttpURLConnection,instanceFollowRedirects,boolean
HttpURLConnection,responseMessage,String
HttpURLConnection,responseCode,int
HttpURLConnection,fixedContentLengthLong,long
HttpURLConnection,fixedContentLength,int
HttpURLConnection,chunkLength,int
HttpURLConnection,method,String
HttpURLConnection,factory,ContentHandlerFactory
HttpURLConnection,connected,boolean
HttpURLConnection,ifModifiedSince,long
HttpURLConnection,useCaches,boolean
HttpURLConnection,allowUserInteraction,boolean
HttpURLConnection,doOutput,boolean
HttpURLConnection,doInput,boolean
HttpURLConnection,url,URL
URL,handlers,"Hashtable<String,URLStreamHandler>"
URL,factory,URLStreamHandlerFactory
URL,handler,URLStreamHandler
URL,hostAddress,InetAddress
URL,serialVersionUID,long
URL,BUILTIN_HANDLERS_PREFIX,String
URLConnection,factory,ContentHandlerFactory
URLConnection,connected,boolean
URLConnection,ifModifiedSince,long
URLConnection,useCaches,boolean
URLConnection,allowUserInteraction,boolean
URLConnection,doOutput,boolean
URLConnection,doInput,boolean
URLConnection,url,URL
ByteArrayInputStream,count,int
ByteArrayInputStream,mark,int
ByteArrayInputStream,pos,int
ByteArrayInputStream,buf,byte[]
BaseUser,name,String
BaseUser,id,int
DemoUser,name,String
DemoUser,id,int
DemoUser,department,String
GenerationType,AUTO,GenerationType
GenerationType,IDENTITY,GenerationType
GenerationType,SEQUENCE,GenerationType
GenerationType,TABLE,GenerationType
JdbcTemplate,logger,Log
CollectionUtils,DEFAULT_LOAD_FACTOR,float
Collections,EMPTY_LIST,List<>
