controller,method,route,col3,col4,param,col6,annotation,request
CORS,corsVul,/CORS/vul,,GetMapping,"""origin""",String,no AnAnnotation,getHeader(...)
JacksonVul,vul,/Jackson/vul,application/json,RequestMapping,POST Data,String,RequestBody,
Log4jVul,vul,/Log4j/vul,application/x-www-form-urlencoded,PostMapping,"""q""",String,RequestParam,
XStreamVul,vul,/XStream/vul,application/json,RequestMapping,POST Data,String,RequestBody,
XStreamVul,safe,/XStream/safe,application/json,RequestMapping,POST Data,String,RequestBody,
Deserialization,readObject,/Deserialize/readObject/vul,,RequestMapping,base64,String,no AnAnnotation,
Deserialization,readObject,/Deserialize/readObject/vul,"""""",RequestMapping,base64,String,no AnAnnotation,
Deserialization,readObject,/Deserialize/readObject/vul,{...},RequestMapping,base64,String,no AnAnnotation,
Deserialization,readObject,/Deserialize/readObject/vul,application/x-www-form-urlencoded,RequestMapping,base64,String,no AnAnnotation,
Deserialization,safe,/Deserialize/readObject/safe,,RequestMapping,base64,String,no AnAnnotation,
Deserialization,safe,/Deserialize/readObject/safe,"""""",RequestMapping,base64,String,no AnAnnotation,
Deserialization,safe,/Deserialize/readObject/safe,{...},RequestMapping,base64,String,no AnAnnotation,
Deserialization,safe,/Deserialize/readObject/safe,application/x-www-form-urlencoded,RequestMapping,base64,String,no AnAnnotation,
Deserialization,readUnshared,/Deserialize/readObject/safe2,application/x-www-form-urlencoded,RequestMapping,base64,String,no AnAnnotation,
YamlVul,vul,/Deserialize/yaml/vul,,PostMapping,content,String,no AnAnnotation,
YamlVul,vul,/Deserialize/yaml/vul,"""""",PostMapping,content,String,no AnAnnotation,
YamlVul,vul,/Deserialize/yaml/vul,{...},PostMapping,content,String,no AnAnnotation,
YamlVul,vul,/Deserialize/yaml/vul,application/x-www-form-urlencoded,PostMapping,content,String,no AnAnnotation,
YamlVul,safe,/Deserialize/yaml/safe,,PostMapping,content,String,no AnAnnotation,
YamlVul,safe,/Deserialize/yaml/safe,"""""",PostMapping,content,String,no AnAnnotation,
YamlVul,safe,/Deserialize/yaml/safe,{...},PostMapping,content,String,no AnAnnotation,
YamlVul,safe,/Deserialize/yaml/safe,application/x-www-form-urlencoded,PostMapping,content,String,no AnAnnotation,
JNDIInject,vul,/JNDI/vul,,GetMapping,content,String,no AnAnnotation,
JNDIInject,vul,/JNDI/vul,"""""",GetMapping,content,String,no AnAnnotation,
JNDIInject,vul,/JNDI/vul,{...},GetMapping,content,String,no AnAnnotation,
JNDIInject,safe,/JNDI/safe1,,GetMapping,content,String,no AnAnnotation,
JNDIInject,safe,/JNDI/safe1,"""""",GetMapping,content,String,no AnAnnotation,
JNDIInject,safe,/JNDI/safe1,{...},GetMapping,content,String,no AnAnnotation,
JNDIInject,safe2,/JNDI/safe2,,GetMapping,content,String,no AnAnnotation,
JNDIInject,safe2,/JNDI/safe2,"""""",GetMapping,content,String,no AnAnnotation,
JNDIInject,safe2,/JNDI/safe2,{...},GetMapping,content,String,no AnAnnotation,
JWT,getNickname,/JWT/getName,,GetMapping,"""JWT_TOKEN""",String,CookieValue,
Login,login,/user/login,,RequestMapping,"""username""",String,RequestParam,
Login,login,/user/login,,RequestMapping,"""password""",String,RequestParam,
Login,login,/user/login,,RequestMapping,"""captcha""",String,RequestParam,
Login,login,/user/login,"""""",RequestMapping,"""username""",String,RequestParam,
Login,login,/user/login,"""""",RequestMapping,"""password""",String,RequestParam,
Login,login,/user/login,"""""",RequestMapping,"""captcha""",String,RequestParam,
Login,login,/user/login,{...},RequestMapping,"""username""",String,RequestParam,
Login,login,/user/login,{...},RequestMapping,"""password""",String,RequestParam,
Login,login,/user/login,{...},RequestMapping,"""captcha""",String,RequestParam,
Login,login,/user/login,application/x-www-form-urlencoded,RequestMapping,"""username""",String,RequestParam,
Login,login,/user/login,application/x-www-form-urlencoded,RequestMapping,"""password""",String,RequestParam,
Login,login,/user/login,application/x-www-form-urlencoded,RequestMapping,"""captcha""",String,RequestParam,
GroovyVul,vul,/RCE/Groovy/vul,,GetMapping,cmd,String,no AnAnnotation,
GroovyVul,vul,/RCE/Groovy/vul,"""""",GetMapping,cmd,String,no AnAnnotation,
GroovyVul,vul,/RCE/Groovy/vul,{...},GetMapping,cmd,String,no AnAnnotation,
GroovyVul,safe,/RCE/Groovy/safe,,GetMapping,cmd,String,no AnAnnotation,
LoadJsVul,jsEngine,/RCE/ScriptEngine/vul,,GetMapping,url,String,no AnAnnotation,
LoadJsVul,jsEngine,/RCE/ScriptEngine/vul,"""""",GetMapping,url,String,no AnAnnotation,
LoadJsVul,jsEngine,/RCE/ScriptEngine/vul,{...},GetMapping,url,String,no AnAnnotation,
ProcessBuilderVul,processbuilderVul,/RCE/ProcessBuilder/vul,,RequestMapping,filepath,String,no AnAnnotation,
ProcessBuilderVul,processbuilderVul,/RCE/ProcessBuilder/vul,"""""",RequestMapping,filepath,String,no AnAnnotation,
ProcessBuilderVul,processbuilderVul,/RCE/ProcessBuilder/vul,{...},RequestMapping,filepath,String,no AnAnnotation,
ProcessBuilderVul,processbuilderVul,/RCE/ProcessBuilder/vul,application/x-www-form-urlencoded,RequestMapping,filepath,String,no AnAnnotation,
ProcessBuilderVul,processbuilderSafe,/RCE/ProcessBuilder/safe,,RequestMapping,filepath,String,no AnAnnotation,
ProcessBuilderVul,processbuilderSafe,/RCE/ProcessBuilder/safe,"""""",RequestMapping,filepath,String,no AnAnnotation,
ProcessBuilderVul,processbuilderSafe,/RCE/ProcessBuilder/safe,{...},RequestMapping,filepath,String,no AnAnnotation,
ProcessBuilderVul,processbuilderSafe,/RCE/ProcessBuilder/safe,application/x-www-form-urlencoded,RequestMapping,filepath,String,no AnAnnotation,
ProcessImplVul,vul,/RCE/ProcessImpl/vul,,RequestMapping,cmd,String,no AnAnnotation,
ProcessImplVul,vul,/RCE/ProcessImpl/vul,"""""",RequestMapping,cmd,String,no AnAnnotation,
ProcessImplVul,vul,/RCE/ProcessImpl/vul,{...},RequestMapping,cmd,String,no AnAnnotation,
