controller,method,route,col3,col4,param,col6,annotation,request
HashingAssignment,completed,/crypto/hashing,application/x-www-form-urlencoded,PostMapping,request,HttpServletRequest,no AnAnnotation,
HashingAssignment,completed,/crypto/hashing,application/x-www-form-urlencoded,PostMapping,answer_pwd1,String,RequestParam,
HashingAssignment,completed,/crypto/hashing,application/x-www-form-urlencoded,PostMapping,answer_pwd2,String,RequestParam,
JWTSecretKeyEndpoint,login,/JWT/secret,application/x-www-form-urlencoded,PostMapping,token,String,RequestParam,
StartLesson,lessonPage,/*.lesson,application/x-www-form-urlencoded,RequestMapping,request,HttpServletRequest,no AnAnnotation,
BypassRestrictionsFieldRestrictions,completed,/BypassRestrictions/FieldRestrictions,application/x-www-form-urlencoded,PostMapping,select,String,RequestParam,
BypassRestrictionsFieldRestrictions,completed,/BypassRestrictions/FieldRestrictions,application/x-www-form-urlencoded,PostMapping,radio,String,RequestParam,
BypassRestrictionsFieldRestrictions,completed,/BypassRestrictions/FieldRestrictions,application/x-www-form-urlencoded,PostMapping,checkbox,String,RequestParam,
BypassRestrictionsFieldRestrictions,completed,/BypassRestrictions/FieldRestrictions,application/x-www-form-urlencoded,PostMapping,shortInput,String,RequestParam,
BypassRestrictionsFieldRestrictions,completed,/BypassRestrictions/FieldRestrictions,application/x-www-form-urlencoded,PostMapping,readOnlyInput,String,RequestParam,
BypassRestrictionsFrontendValidation,completed,/BypassRestrictions/frontendValidation,application/x-www-form-urlencoded,PostMapping,error,Integer,RequestParam,
BypassRestrictionsFrontendValidation,completed,/BypassRestrictions/frontendValidation,application/x-www-form-urlencoded,PostMapping,field1,String,RequestParam,
BypassRestrictionsFrontendValidation,completed,/BypassRestrictions/frontendValidation,application/x-www-form-urlencoded,PostMapping,field2,String,RequestParam,
BypassRestrictionsFrontendValidation,completed,/BypassRestrictions/frontendValidation,application/x-www-form-urlencoded,PostMapping,field3,String,RequestParam,
BypassRestrictionsFrontendValidation,completed,/BypassRestrictions/frontendValidation,application/x-www-form-urlencoded,PostMapping,field4,String,RequestParam,
BypassRestrictionsFrontendValidation,completed,/BypassRestrictions/frontendValidation,application/x-www-form-urlencoded,PostMapping,field5,String,RequestParam,
BypassRestrictionsFrontendValidation,completed,/BypassRestrictions/frontendValidation,application/x-www-form-urlencoded,PostMapping,field6,String,RequestParam,
BypassRestrictionsFrontendValidation,completed,/BypassRestrictions/frontendValidation,application/x-www-form-urlencoded,PostMapping,field7,String,RequestParam,
NetworkDummy,completed,/ChromeDevTools/dummy,application/x-www-form-urlencoded,PostMapping,successMessage,String,RequestParam,
NetworkLesson,completed,/ChromeDevTools/network,application/x-www-form-urlencoded,PostMapping,number,String,RequestParam,
NetworkLesson,completed,/ChromeDevTools/network,application/x-www-form-urlencoded,PostMapping,network_num,String,RequestParam,
CIAQuiz,completed,/cia/quiz,application/x-www-form-urlencoded,PostMapping,question_0_solution,String[],RequestParam,
CIAQuiz,completed,/cia/quiz,application/x-www-form-urlencoded,PostMapping,question_1_solution,String[],RequestParam,
CIAQuiz,completed,/cia/quiz,application/x-www-form-urlencoded,PostMapping,question_2_solution,String[],RequestParam,
CIAQuiz,completed,/cia/quiz,application/x-www-form-urlencoded,PostMapping,question_3_solution,String[],RequestParam,
ClientSideFilteringAssignment,completed,/clientSideFiltering/attack1,application/x-www-form-urlencoded,PostMapping,answer,String,RequestParam,
ClientSideFilteringFreeAssignment,completed,/clientSideFiltering/getItForFree,application/x-www-form-urlencoded,PostMapping,checkoutCode,String,RequestParam,
EncodingAssignment,completed,/crypto/encoding/basic-auth,application/x-www-form-urlencoded,PostMapping,request,HttpServletRequest,no AnAnnotation,
EncodingAssignment,completed,/crypto/encoding/basic-auth,application/x-www-form-urlencoded,PostMapping,answer_user,String,RequestParam,
EncodingAssignment,completed,/crypto/encoding/basic-auth,application/x-www-form-urlencoded,PostMapping,answer_pwd,String,RequestParam,
SecureDefaultsAssignment,completed,/crypto/secure/defaults,application/x-www-form-urlencoded,PostMapping,secretText,String,RequestParam,
SecureDefaultsAssignment,completed,/crypto/secure/defaults,application/x-www-form-urlencoded,PostMapping,secretFileName,String,RequestParam,
XOREncodingAssignment,completed,/crypto/encoding/xor,application/x-www-form-urlencoded,PostMapping,answer_pwd1,String,RequestParam,
CSRFFeedback,completed,/csrf/feedback/message,application/json,PostMapping,request,HttpServletRequest,no AnAnnotation,
CSRFFeedback,completed,/csrf/feedback/message,application/json,PostMapping,POST Data,String,RequestBody,
ForgedReviews,createNewReview,/csrf/review,application/x-www-form-urlencoded,PostMapping,request,HttpServletRequest,no AnAnnotation,
ForgedReviews,createNewReview,/csrf/review,application/x-www-form-urlencoded,PostMapping,reviewText,String,no AnAnnotation,
ForgedReviews,createNewReview,/csrf/review,application/x-www-form-urlencoded,PostMapping,stars,Integer,no AnAnnotation,
ForgedReviews,createNewReview,/csrf/review,application/x-www-form-urlencoded,PostMapping,validateReq,String,no AnAnnotation,
InsecureDeserializationTask,completed,/InsecureDeserialization/task,application/x-www-form-urlencoded,PostMapping,token,String,RequestParam,
HtmlTamperingTask,completed,/HtmlTampering/task,application/x-www-form-urlencoded,PostMapping,QTY,String,RequestParam,
HtmlTamperingTask,completed,/HtmlTampering/task,application/x-www-form-urlencoded,PostMapping,Total,String,RequestParam,
HttpBasicsLesson,completed,/HttpBasics/attack1,application/x-www-form-urlencoded,PostMapping,person,String,RequestParam,
HttpBasicsQuiz,completed,/HttpBasics/attack2,application/x-www-form-urlencoded,PostMapping,answer,String,RequestParam,
HttpBasicsQuiz,completed,/HttpBasics/attack2,application/x-www-form-urlencoded,PostMapping,magic_answer,String,RequestParam,
HttpBasicsQuiz,completed,/HttpBasics/attack2,application/x-www-form-urlencoded,PostMapping,magic_num,String,RequestParam,
IDORDiffAttributes,completed,/IDOR/diff-attributes,application/x-www-form-urlencoded,PostMapping,attributes,String,RequestParam,
IDORLogin,completed,/IDOR/login,application/x-www-form-urlencoded,PostMapping,username,String,RequestParam,
IDORLogin,completed,/IDOR/login,application/x-www-form-urlencoded,PostMapping,password,String,RequestParam,
IDORViewOwnProfileAltUrl,completed,/IDOR/profile/alt-path,application/x-www-form-urlencoded,PostMapping,url,String,RequestParam,
InsecureLoginTask,completed,/InsecureLogin/task,application/x-www-form-urlencoded,PostMapping,username,String,RequestParam,
InsecureLoginTask,completed,/InsecureLogin/task,application/x-www-form-urlencoded,PostMapping,password,String,RequestParam,
JWTDecodeEndpoint,decode,/JWT/decode,application/x-www-form-urlencoded,PostMapping,"""jwt-encode-user""",String,RequestParam,
JWTQuiz,completed,/JWT/quiz,application/x-www-form-urlencoded,PostMapping,question_0_solution,String[],RequestParam,
JWTQuiz,completed,/JWT/quiz,application/x-www-form-urlencoded,PostMapping,question_1_solution,String[],RequestParam,
JWTRefreshEndpoint,follow,/JWT/refresh/login,MediaType.APPLICATION_JSON_VALUE,PostMapping,POST Data,"Map<String,Object>",RequestBody,
JWTRefreshEndpoint,checkout,/JWT/refresh/checkout,application/x-www-form-urlencoded,PostMapping,"""Authorization""",String,RequestHeader,
JWTRefreshEndpoint,newToken,/JWT/refresh/newToken,application/json,PostMapping,"""Authorization""",String,RequestHeader,
JWTRefreshEndpoint,newToken,/JWT/refresh/newToken,application/json,PostMapping,POST Data,"Map<String,Object>",RequestBody,
JWTVotesEndpoint,login,/JWT/votings/login,,GetMapping,response,HttpServletResponse,no AnAnnotation,
JWTVotesEndpoint,login,/JWT/votings/login,,GetMapping,"""user""",String,RequestParam,
JWTVotesEndpoint,getVotes,/JWT/votings,,GetMapping,"""access_token""",String,CookieValue,
JWTVotesEndpoint,vote,/JWT/votings/{title},application/x-www-form-urlencoded,PostMapping,"""access_token""",String,CookieValue,
JWTVotesEndpoint,vote,/JWT/votings/{title},application/x-www-form-urlencoded,PostMapping,title,String,PathVariable,
JWTVotesEndpoint,resetVotes,/JWT/votings,application/x-www-form-urlencoded,PostMapping,"""access_token""",String,CookieValue,
JWTHeaderJKUEndpoint,follow,/JWT/jku/follow/{user},application/x-www-form-urlencoded,PostMapping,"""user""",String,PathVariable,
JWTHeaderJKUEndpoint,resetVotes,/JWT/jku/delete,application/x-www-form-urlencoded,PostMapping,"""token""",String,RequestParam,
JWTHeaderKIDEndpoint,follow,/JWT/kid/follow/{user},application/x-www-form-urlencoded,PostMapping,"""user""",String,PathVariable,
JWTHeaderKIDEndpoint,resetVotes,/JWT/kid/delete,application/x-www-form-urlencoded,PostMapping,"""token""",String,RequestParam,
LogBleedingTask,completed,/LogSpoofing/log-bleeding,application/x-www-form-urlencoded,PostMapping,username,String,RequestParam,
LogBleedingTask,completed,/LogSpoofing/log-bleeding,application/x-www-form-urlencoded,PostMapping,password,String,RequestParam,
LogSpoofingTask,completed,/LogSpoofing/log-spoofing,application/x-www-form-urlencoded,PostMapping,username,String,RequestParam,
LogSpoofingTask,completed,/LogSpoofing/log-spoofing,application/x-www-form-urlencoded,PostMapping,password,String,RequestParam,
ResetLinkAssignment,login,/PasswordReset/reset/login,application/x-www-form-urlencoded,PostMapping,email,String,RequestParam,
ResetLinkAssignment,login,/PasswordReset/reset/login,application/x-www-form-urlencoded,PostMapping,password,String,RequestParam,
ResetLinkAssignment,resetPassword,/PasswordReset/reset/reset-password/{link},,GetMapping,"""link""",String,PathVariable,
ResetLinkAssignment,changePassword,/PasswordReset/reset/change-password,application/x-www-form-urlencoded,PostMapping,"""form""",PasswordChangeForm,ModelAttribute,
ResetLinkAssignmentForgotPassword,sendPasswordResetLink,/PasswordReset/ForgotPassword/create-password-reset-link,application/x-www-form-urlencoded,PostMapping,email,String,RequestParam,
ResetLinkAssignmentForgotPassword,sendPasswordResetLink,/PasswordReset/ForgotPassword/create-password-reset-link,application/x-www-form-urlencoded,PostMapping,request,HttpServletRequest,no AnAnnotation,
ResetLinkAssignmentForgotPassword,sendPasswordResetLink,/PasswordReset/ForgotPassword/create-password-reset-link,application/x-www-form-urlencoded,PostMapping,webWolfMailURL,ResponseEntity<Object>,no AnAnnotation,
ResetLinkAssignmentForgotPassword,sendPasswordResetLink,/PasswordReset/ForgotPassword/create-password-reset-link,application/x-www-form-urlencoded,PostMapping,mail,ResponseEntity<Object>,no AnAnnotation,
ResetLinkAssignmentForgotPassword,sendPasswordResetLink,/PasswordReset/ForgotPassword/create-password-reset-link,application/x-www-form-urlencoded,PostMapping,httpEntity,ResponseEntity<Void>,no AnAnnotation,
ResetLinkAssignmentForgotPassword,sendPasswordResetLink,/PasswordReset/ForgotPassword/create-password-reset-link,application/x-www-form-urlencoded,PostMapping,format(...),ResponseEntity<Void>,no AnAnnotation,
ResetLinkAssignmentForgotPassword,sendPasswordResetLink,/PasswordReset/ForgotPassword/create-password-reset-link,application/x-www-form-urlencoded,PostMapping,HttpMethod.GET,ResponseEntity<Void>,no AnAnnotation,
ResetLinkAssignmentForgotPassword,sendPasswordResetLink,/PasswordReset/ForgotPassword/create-password-reset-link,application/x-www-form-urlencoded,PostMapping,Object.class,ResponseEntity<Object>,no AnAnnotation,
ResetLinkAssignmentForgotPassword,sendPasswordResetLink,/PasswordReset/ForgotPassword/create-password-reset-link,application/x-www-form-urlencoded,PostMapping,Void.class,ResponseEntity<Void>,no AnAnnotation,
SecurityQuestionAssignment,completed,/PasswordReset/SecurityQuestions,application/x-www-form-urlencoded,PostMapping,question,String,RequestParam,
SimpleMailAssignment,resetPassword,/PasswordReset/simple-mail/reset,application/x-www-form-urlencoded,PostMapping,emailReset,String,RequestParam,
SimpleMailAssignment,resetPassword,/PasswordReset/simple-mail/reset,application/x-www-form-urlencoded,PostMapping,webWolfURL,ResponseEntity<Object>,no AnAnnotation,
SimpleMailAssignment,resetPassword,/PasswordReset/simple-mail/reset,application/x-www-form-urlencoded,PostMapping,mailEvent,ResponseEntity<Object>,no AnAnnotation,
SimpleMailAssignment,resetPassword,/PasswordReset/simple-mail/reset,application/x-www-form-urlencoded,PostMapping,Object.class,ResponseEntity<Object>,no AnAnnotation,
SimpleMailAssignment,resetPassword,/PasswordReset/simple-mail/reset,MediaType.APPLICATION_FORM_URLENCODED_VALUE,PostMapping,emailReset,String,RequestParam,
SimpleMailAssignment,resetPassword,/PasswordReset/simple-mail/reset,MediaType.APPLICATION_FORM_URLENCODED_VALUE,PostMapping,webWolfURL,ResponseEntity<Object>,no AnAnnotation,
SimpleMailAssignment,resetPassword,/PasswordReset/simple-mail/reset,MediaType.APPLICATION_FORM_URLENCODED_VALUE,PostMapping,mailEvent,ResponseEntity<Object>,no AnAnnotation,
SimpleMailAssignment,resetPassword,/PasswordReset/simple-mail/reset,MediaType.APPLICATION_FORM_URLENCODED_VALUE,PostMapping,Object.class,ResponseEntity<Object>,no AnAnnotation,
ProfileUpload,uploadFileHandler,/PathTraversal/profile-upload,ALL_VALUE,PostMapping,"""uploadedFile""",MultipartFile,RequestParam,
ProfileUpload,uploadFileHandler,/PathTraversal/profile-upload,ALL_VALUE,PostMapping,"""fullName""",String,RequestParam,
ProfileUpload,uploadFileHandler,/PathTraversal/profile-upload,application/x-www-form-urlencoded,PostMapping,"""uploadedFile""",MultipartFile,RequestParam,
ProfileUpload,uploadFileHandler,/PathTraversal/profile-upload,application/x-www-form-urlencoded,PostMapping,"""fullName""",String,RequestParam,
ProfileUploadFix,uploadFileHandler,/PathTraversal/profile-upload-fix,ALL_VALUE,PostMapping,"""uploadedFileFix""",MultipartFile,RequestParam,
